id	sample	pdf	stem	hancomVersion	variant	sourceFormat	oracleRoot	family
samples/hwp3-sample16-hwp5-2018.hwp::pdf/hwp3-sample16-hwp5-2018-2020.pdf	samples/hwp3-sample16-hwp5-2018.hwp	pdf/hwp3-sample16-hwp5-2018-2020.pdf	hwp3-sample16-hwp5-2018	2020	2020	hwp	pdf	hwp3
samples/hwp3-sample16-hwp5-2018.hwp::pdf/hwp3-sample16-hwp5-2018-hwp-2020.pdf	samples/hwp3-sample16-hwp5-2018.hwp	pdf/hwp3-sample16-hwp5-2018-hwp-2020.pdf	hwp3-sample16-hwp5-2018	2020	hwp-2020	hwp	pdf	hwp3
samples/hwp3-sample16-hwp5-2022.hwp::pdf/hwp3-sample16-hwp5-2022.pdf	samples/hwp3-sample16-hwp5-2022.hwp	pdf/hwp3-sample16-hwp5-2022.pdf	hwp3-sample16-hwp5-2022	2022	exact	hwp	pdf	hwp3
samples/hwp3-sample16-hwp5-2022.hwp::pdf/hwp3-sample16-hwp5-2022-2020.pdf	samples/hwp3-sample16-hwp5-2022.hwp	pdf/hwp3-sample16-hwp5-2022-2020.pdf	hwp3-sample16-hwp5-2022	2020	2020	hwp	pdf	hwp3
samples/hwp3-sample16-hwp5-2022.hwp::pdf/hwp3-sample16-hwp5-2022-hwp-2020.pdf	samples/hwp3-sample16-hwp5-2022.hwp	pdf/hwp3-sample16-hwp5-2022-hwp-2020.pdf	hwp3-sample16-hwp5-2022	2020	hwp-2020	hwp	pdf	hwp3
samples/hwp3-sample16-hwp5-2024.hwp::pdf/hwp3-sample16-hwp5-2024-hwp-2024.pdf	samples/hwp3-sample16-hwp5-2024.hwp	pdf/hwp3-sample16-hwp5-2024-hwp-2024.pdf	hwp3-sample16-hwp5-2024	2024	hwp-2024	hwp	pdf	hwp3
samples/hwp3-sample16-hwp5-2024.hwp::pdf/hwp3-sample16-hwp5-2024-2020.pdf	samples/hwp3-sample16-hwp5-2024.hwp	pdf/hwp3-sample16-hwp5-2024-2020.pdf	hwp3-sample16-hwp5-2024	2020	2020	hwp	pdf	hwp3
samples/hwp3-sample16-hwp5.hwp::pdf/hwp3-sample16-hwp5-hwp-2024.pdf	samples/hwp3-sample16-hwp5.hwp	pdf/hwp3-sample16-hwp5-hwp-2024.pdf	hwp3-sample16-hwp5	2024	hwp-2024	hwp	pdf	hwp3
samples/hwp3-sample16-hwp5.hwp::pdf/hwp3-sample16-hwp5-2022.pdf	samples/hwp3-sample16-hwp5.hwp	pdf/hwp3-sample16-hwp5-2022.pdf	hwp3-sample16-hwp5	2022	2022	hwp	pdf	hwp3
samples/hwp3-sample16-hwp5.hwp::pdf/hwp3-sample16-hwp5-2020.pdf	samples/hwp3-sample16-hwp5.hwp	pdf/hwp3-sample16-hwp5-2020.pdf	hwp3-sample16-hwp5	2020	2020	hwp	pdf	hwp3
